Filename,FieldName,DataType,Description
dataset,dataset,Text,Name/label of the dataset (Label)
dataset,datasetUri,Text,Unique identifier of the dataset (URI)
dataset,description,Text,Description of the dataset
dataset,version,Text,Version of the dataset
dataset,creator,Text,Creator of the dataset
dataset,publisher,Text,Publisher of the dataset
dataset,citation,Text,Statement to use in dataset citation
*_observation,dataset,Text,Name/label of the dataset (Label)
*_observation,datasetId,Text,Unique identifier of the dataset (URI)
*_observation,latitude,Number,"Name/label of the site visit (Label), if apply"
*_observation,longitude,Number,"Unique identifier of the site visit (URI), if apply"
*_observation,siteName,Text,"Name/label of the site (Label), if apply"
*_observation,siteId,Text,"Unique identifier of the site (URI), if apply"
*_observation,transectName,Text,"Name/label of the transect (Label), if apply"
*_observation,transectId,Text,"Unique identifier of the transect (URI), if apply"
*_observation,siteVisitName,Text,"Name/label of the site visit (Label), if apply"
*_observation,siteVisitId,Text,"Unique identifier of the site visit (URI), if apply"
*_observation,observationId,Text,Unique identifier of the observation (URI)
*_observation,featureId,Text,Unique identifier of the feature of interest (URI)
*_observation,featureType,Text,"Type of feature of interest (plant specimen, landform, etc.) (Label)"
*_observation,featureTypeId,Text,"Type of feature of interest (plant specimen, landform, etc.) (URI)"
*_observation,materialSampleID,Text,"Unique identifier of the material sample (URI), if apply"
*_observation,parameter,Text,Observable property (Label)
*_observation,parameterId,Text,Observable property (URI)
*_observation,result,Text,Observation measured result
*_observation,resultId,Any,Observation measured result: Categorical value (URI)
*_observation,resultUnit,Text,Unit of measure of the result (Label)
*_observation,resultUnitId,Text,Unit of measure of the result (URI)
*_observation,method,Text,Procedure used for measuring the observation (Label)
*_observation,methodId,Text,Procedure used for measuring the observation (URI)
*_observation,resultTime,Date,Time of measurement
*_observation,instrumentId,Text,Unique identifier of the used instrument (URI)
*_observation,instrumentType,Text,Specific instrument used for measure (Label)
*_observation,instrumentTypeId,Text,Specific instrument used for measure (URI)
*_feature_attribute,featureId,Text,Unique identifier of the feature of interest  instance(URI)
*_feature_attribute,attributeName,Text,Attribute (URI)
*_feature_attribute,attributeConceptId,Text,Attribute (URI)
*_feature_attribute,value,Text,Value
*_feature_attribute,valueId,Any,"Unique identifier of the categorical value, if apply (URI)"
*_feature_attribute,valueUnit,Text,Unit of measure of the value (Label)
*_feature_attribute,valueUnitId,Text,Unit of measure of the value (URI)
*_taxon,taxonID,Text,http://rs.tdwg.org/dwc/terms/taxonID
*_taxon,scientificNameID,Text,http://rs.tdwg.org/dwc/terms/scientificNameID
*_taxon,scientificName,Text,http://rs.tdwg.org/dwc/terms/scientificName
*_taxon,scientificNameAuthorship,Text,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship
*_taxon,acceptedNameID,Text,http://rs.tdwg.org/dwc/terms/acceptedNameID
*_taxon,acceptedName,Text,http://rs.tdwg.org/dwc/terms/acceptedName
*_taxon,nameAccordingToID,Text,http://rs.tdwg.org/dwc/terms/nameAccordingToID
*_taxon,nameAccordingTo,Text,http://rs.tdwg.org/dwc/terms/nameAccordingTo
*_taxon,namePublishedInID,Text,http://rs.tdwg.org/dwc/terms/namePublishedInID
*_taxon,namePublishedIn,Text,http://rs.tdwg.org/dwc/terms/namePublishedIn
*_taxon,namePublishedInYear,Text,http://rs.tdwg.org/dwc/terms/namePublishedInYear
*_taxon,originalNameUsageID,Text,http://rs.tdwg.org/dwc/terms/originalNameUsageID
*_taxon,originalNameUsage,Text,http://rs.tdwg.org/dwc/terms/originalNameUsage
*_taxon,parentNameUsageID,Text,http://rs.tdwg.org/dwc/terms/parentNameUsageID
*_taxon,parentNameUsage,Text,http://rs.tdwg.org/dwc/terms/parentNameUsage
*_taxon,conceptID,Text,http://rs.tdwg.org/dwc/terms/conceptID
*_taxon,nomenclaturalStatus,Text,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus
*_taxon,nomenclaturalCode,Text,http://rs.tdwg.org/dwc/terms/nomenclaturalCode
*_taxon,taxonomicStatus,Text,http://rs.tdwg.org/dwc/terms/taxonomicStatus
*_taxon,higherClassification,Text,http://rs.tdwg.org/dwc/terms/higherClassification
*_taxon,kingdom,Text,http://rs.tdwg.org/dwc/terms/kingdom
*_taxon,class,Text,http://rs.tdwg.org/dwc/terms/class
*_taxon,order,Text,http://rs.tdwg.org/dwc/terms/order
*_taxon,family,Text,http://rs.tdwg.org/dwc/terms/family
*_taxon,subfamily,Text,http://rs.tdwg.org/dwc/terms/subfamily
*_taxon,genus,Text,http://rs.tdwg.org/dwc/terms/genus
*_taxon,subgenus,Text,http://rs.tdwg.org/dwc/terms/subgenus
*_taxon,phylum,Text,http://rs.tdwg.org/dwc/terms/phylum
*_taxon,specificEpithet,Text,http://rs.tdwg.org/dwc/terms/specificEpithet
*_taxon,cultivarEpithet,Text,http://rs.tdwg.org/dwc/terms/cultivarEpithet
*_taxon,genericName,Text,http://rs.tdwg.org/dwc/terms/genericName
*_taxon,infragenericEpithet,Text,http://rs.tdwg.org/dwc/terms/infragenericEpithet
*_taxon,infraspecificEpithet,Text,http://rs.tdwg.org/dwc/terms/infraspecificEpithet
*_taxon,taxonRank,Text,http://rs.tdwg.org/dwc/terms/taxonRank
*_taxon,taxonRemarks,Text,http://rs.tdwg.org/dwc/terms/taxonRemarks
*_taxon,verbatimTaxonRank,Text,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank
*_taxon,vernacularName,Text,http://rs.tdwg.org/dwc/terms/vernacularName
site,dataset,Text,Name/label of the dataset (Label)
site,datasetUri,Text,Unique identifier of the dataset (URI)
site,siteName,Text,Name/label of the site (Label)
site,siteId,Text,Unique identifier of the site (URI)
site,siteType,Text,"Type of site (site, plot, transect, quadract, etc.) (Label)"
site,siteTypeId,Text,"Type of site (site, plot, transect, quadract, etc.) (URI)"
site,dateCommissioned,Date,Date of establishment of the site
site,description,Text,Description of the site
site,dimension,Text,Dimension of the site
site,polygonWkt,Text,Site polygon geometry in WKT representation
site,pointWkt,Text,Site point geometry in WKT representation
site,latitude,Number,Latitude
site,longitude,Number,Longitude
site,altitude,Number,Altitude
site,pointPositionWithinPlot,Text,"Position of the point within plot (south west, centroid, etc.) (Label)"
site,pointPositionWithinPlotId,Text,"Position of the point within plot (south west, centroid, etc.) (URI)"
sitevisit,dataset,Text,Name/label of the dataset (Label)
sitevisit,datasetUri,Text,Unique identifier of the dataset (URI)
sitevisit,siteName,Text,Name/label of the site (Label)
sitevisit,siteId,Text,Unique identifier of the site (URI)
sitevisit,siteVisitName,Text,Name/label of the site visit (Label)
sitevisit,siteVisitId,Text,Unique identifier of the site visit (URI)
sitevisit,siteVisitStartDate,Date,Start date of the visit to the site
sitevisit,siteVisitEndDate,Date,End date of the visit to the site
sitevisit,description,Text,Description of the site visit
site_attribute,attributeId,Text,Unique identifier of the attribute (URI)
site_attribute,siteName,Text,Site name (Label)
site_attribute,siteId,Text,Unique identifier of the site (URI)
site_attribute,attributeName,Text,Attribute (Label)
site_attribute,attributeConceptId,Text,Attribute (URI)
site_attribute,value,Text,Value
site_attribute,valueId,Any,"Unique identifier of the categorical value, if apply (URI)"
site_attribute,valueUnit,Text,Unit of measure of the value (Label)
site_attribute,valueUnitId,Text,Unit of measure of the value (URI)
sitevisit_attribute,attributeId,Text,Unique identifier of the attribute (URI)
sitevisit_attribute,siteVisitName,Text,Site visit name (Label)
sitevisit_attribute,siteVisitId,Text,Unique identifier of the site visit (URI)
sitevisit_attribute,attributeName,Text,Attribute (Label)
sitevisit_attribute,attributeConceptId,Text,Attribute (URI)
sitevisit_attribute,value,Text,Value
sitevisit_attribute,valueId,Any,"Unique identifier of the categorical value, if apply (URI)"
sitevisit_attribute,valueUnit,Text,Unit of measure of the value (Label)
sitevisit_attribute,valueUnitId,Text,Unit of measure of the value (URI)
